output is 
36814 0.584314 0.584314
36815 0.682353 0.682353
36816 0.443137 0.443137
36817 0.584314 0.584314
36818 0.686275 0.686275
36819 0.443137 0.443137
36820 0.580392 0.580392
36821 0.682353 0.682353
36822 0.443137 0.443137
36823 0.576471 0.576471
36824 0.682353 0.682353
36825 0.435294 0.435294
36826 0.580392 0.580392
36827 0.682353 0.682353
36828 0.435294 0.435294
36829 0.576471 0.576471
36830 0.670588 0.670588
36831 0.443137 0.443137
36832 0.572549 0.572549
36833 0.662745 0.662745
36834 0.443137 0.443137
36835 0.572549 0.572549
36836 0.662745 0.662745
36837 0.439216 0.439216
36838 0.568627 0.568627
36839 0.662745 0.662745
36840 0.439216 0.439216
36841 0.564706 0.564706
36842 0.666667 0.666667
36843 0.439216 0.439216
36844 0.560784 0.560784
36845 0.662745 0.662745
36846 0.435294 0.435294
36847 0.564706 0.564706
36848 0.662745 0.662745
36849 0.431373 0.431373
36850 0.568627 0.568627
36851 0.666667 0.666667
36852 0.431373 0.431373
36853 0.564706 0.564706
36854 0.654902 0.654902
36855 0.443137 0.443137
36856 0.564706 0.564706
36857 0.654902 0.654902
36858 0.443137 0.443137
36859 0.564706 0.564706
36860 0.65098 0.65098
36861 0.443137 0.443137
36862 0.564706 0.564706
36863 0.647059 0.647059
36864 0.580392 0.580392
36865 0.709804 0.709804
36866 0.784314 0.784314
36867 0.580392 0.580392
36868 0.709804 0.709804
36869 0.784314 0.784314
36870 0.580392 0.580392
36871 0.709804 0.709804
36872 0.784314 0.784314
36873 0.580392 0.580392
36874 0.709804 0.709804
36875 0.784314 0.784314
36876 0.580392 0.580392
36877 0.709804 0.709804
36878 0.784314 0.784314
36879 0.580392 0.580392
36880 0.705882 0.705882
36881 0.784314 0.784314
36882 0.584314 0.584314
36883 0.705882 0.705882
36884 0.784314 0.784314
36885 0.584314 0.584314
36886 0.705882 0.705882
36887 0.784314 0.784314
36888 0.588235 0.588235
36889 0.709804 0.709804
36890 0.788235 0.788235
36891 0.588235 0.588235
36892 0.709804 0.709804
36893 0.788235 0.788235
36894 0.588235 0.588235
36895 0.709804 0.709804
36896 0.788235 0.788235
36897 0.584314 0.584314
36898 0.713726 0.713726
36899 0.788235 0.788235
36900 0.584314 0.584314
36901 0.713726 0.713726
36902 0.788235 0.788235
36903 0.584314 0.584314
36904 0.713726 0.713726
36905 0.788235 0.788235
36906 0.584314 0.584314
36907 0.713726 0.713726
36908 0.788235 0.788235
36909 0.584314 0.584314
36910 0.713726 0.713726
36911 0.788235 0.788235
36912 0.584314 0.584314
36913 0.713726 0.713726
36914 0.788235 0.788235
36915 0.584314 0.584314
36916 0.713726 0.713726
36917 0.788235 0.788235
36918 0.584314 0.584314
36919 0.713726 0.713726
36920 0.788235 0.788235
36921 0.584314 0.584314
36922 0.713726 0.713726
36923 0.788235 0.788235
36924 0.584314 0.584314
36925 0.713726 0.713726
36926 0.788235 0.788235
36927 0.584314 0.584314
36928 0.713726 0.713726
36929 0.788235 0.788235
36930 0.584314 0.584314
36931 0.713726 0.713726
36932 0.788235 0.788235
36933 0.584314 0.584314
36934 0.713726 0.713726
36935 0.788235 0.788235
36936 0.584314 0.584314
36937 0.713726 0.713726
36938 0.788235 0.788235
36939 0.584314 0.584314
36940 0.713726 0.713726
36941 0.788235 0.788235
36942 0.584314 0.584314
36943 0.713726 0.713726
36944 0.788235 0.788235
36945 0.584314 0.584314
36946 0.713726 0.713726
36947 0.788235 0.788235
36948 0.584314 0.584314
36949 0.713726 0.713726
36950 0.788235 0.788235
36951 0.584314 0.584314
36952 0.713726 0.713726
36953 0.788235 0.788235
36954 0.584314 0.584314
36955 0.713726 0.713726
36956 0.788235 0.788235
36957 0.584314 0.584314
36958 0.713726 0.713726
36959 0.788235 0.788235
36960 0.584314 0.584314
36961 0.713726 0.713726
36962 0.788235 0.788235
36963 0.584314 0.584314
36964 0.713726 0.713726
36965 0.788235 0.788235
36966 0.584314 0.584314
36967 0.713726 0.713726
36968 0.788235 0.788235
36969 0.584314 0.584314
36970 0.713726 0.713726
36971 0.788235 0.788235
36972 0.584314 0.584314
36973 0.713726 0.713726
36974 0.788235 0.788235
36975 0.584314 0.584314
36976 0.713726 0.713726
36977 0.788235 0.788235
36978 0.584314 0.584314
36979 0.713726 0.713726
36980 0.788235 0.788235
36981 0.584314 0.584314
36982 0.713726 0.713726
36983 0.788235 0.788235
36984 0.584314 0.584314
36985 0.713726 0.713726
36986 0.788235 0.788235
36987 0.584314 0.584314
36988 0.713726 0.713726
36989 0.788235 0.788235
36990 0.584314 0.584314
36991 0.713726 0.713726
36992 0.788235 0.788235
36993 0.584314 0.584314
36994 0.713726 0.713726
36995 0.788235 0.788235
36996 0.584314 0.584314
36997 0.713726 0.713726
36998 0.788235 0.788235
36999 0.584314 0.584314
37000 0.713726 0.713726
37001 0.788235 0.788235
37002 0.584314 0.584314
37003 0.713726 0.713726
37004 0.788235 0.788235
37005 0.588235 0.588235
37006 0.717647 0.717647
37007 0.792157 0.792157
37008 0.584314 0.584314
37009 0.713726 0.713726
37010 0.788235 0.788235
37011 0.584314 0.584314
37012 0.713726 0.713726
37013 0.788235 0.788235
37014 0.584314 0.584314
37015 0.713726 0.713726
37016 0.788235 0.788235
37017 0.584314 0.584314
37018 0.713726 0.713726
37019 0.788235 0.788235
37020 0.584314 0.584314
37021 0.713726 0.713726
37022 0.788235 0.788235
37023 0.584314 0.584314
37024 0.713726 0.713726
37025 0.788235 0.788235
37026 0.584314 0.584314
37027 0.713726 0.713726
37028 0.788235 0.788235
37029 0.584314 0.584314
37030 0.713726 0.713726
37031 0.788235 0.788235
37032 0.584314 0.584314
37033 0.713726 0.713726
37034 0.788235 0.788235
37035 0.580392 0.580392
37036 0.713726 0.713726
37037 0.788235 0.788235
37038 0.580392 0.580392
37039 0.713726 0.713726
37040 0.788235 0.788235
37041 0.580392 0.580392
37042 0.713726 0.713726
37043 0.788235 0.788235
37044 0.584314 0.584314
37045 0.717647 0.717647
37046 0.792157 0.792157
37047 0.584314 0.584314
37048 0.717647 0.717647
37049 0.792157 0.792157
37050 0.584314 0.584314
37051 0.717647 0.717647
37052 0.792157 0.792157
37053 0.588235 0.588235
37054 0.717647 0.717647
37055 0.792157 0.792157
37056 0.588235 0.588235
37057 0.717647 0.717647
37058 0.792157 0.792157
37059 0.588235 0.588235
37060 0.717647 0.717647
37061 0.792157 0.792157
37062 0.588235 0.588235
37063 0.717647 0.717647
37064 0.792157 0.792157
37065 0.588235 0.588235
37066 0.717647 0.717647
37067 0.792157 0.792157
37068 0.588235 0.588235
37069 0.717647 0.717647
37070 0.792157 0.792157
37071 0.588235 0.588235
37072 0.717647 0.717647
37073 0.792157 0.792157
37074 0.588235 0.588235
37075 0.717647 0.717647
37076 0.792157 0.792157
37077 0.588235 0.588235
37078 0.717647 0.717647
37079 0.792157 0.792157
37080 0.588235 0.588235
37081 0.717647 0.717647
37082 0.792157 0.792157
37083 0.588235 0.588235
37084 0.717647 0.717647
37085 0.792157 0.792157
37086 0.588235 0.588235
